rainfall_mm,soil_moisture_pct,displacement_mm,pore_pressure_kpa,slope_angle_deg,risk_label
59.8,34.3,2.01,27.5,40.7,Safe
37.4,51.9,5.9,57.0,19.0,Watch
34.6,12.5,0.38,22.6,38.2,Safe
34.6,46.8,7.22,30.4,22.8,Watch
116.2,40.4,5.62,14.5,27.6,Watch
71.7,23.7,3.7,10.3,35.2,Safe
28.3,52.2,5.11,58.3,35.3,Watch
61.7,31.7,2.35,58.6,33.1,Watch
50.0,76.2,3.37,45.3,46.7,Watch
5.4,5.0,2.47,44.8,49.1,Safe
16.8,49.5,1.32,41.3,49.9,Safe
52.7,45.8,2.52,18.9,30.2,Safe
109.1,39.9,0.89,34.4,33.1,Warning
34.8,35.5,1.74,22.4,45.8,Watch
26.5,46.2,0.99,0.0,25.5,Safe
45.4,64.1,0.39,46.8,27.7,Watch
25.1,14.9,1.17,38.3,32.2,Safe
32.9,30.5,5.73,10.2,31.8,Safe
41.2,26.1,1.44,24.6,29.1,Safe
16.0,25.2,4.14,45.8,22.7,Safe
74.3,51.2,0.58,32.0,40.5,Watch
13.4,55.6,1.66,4.5,28.1,Safe
11.8,64.2,0.37,11.8,33.6,Safe
48.3,55.9,0.45,57.9,31.9,Warning
70.3,57.4,2.88,31.0,38.8,Watch
47.4,19.6,2.81,45.9,36.6,Safe
38.0,71.7,0.72,57.6,29.4,Watch
32.7,41.2,1.93,23.1,27.9,Safe
28.5,63.6,5.97,35.3,30.9,Watch
85.9,20.2,0.57,0.5,20.9,Safe
53.0,40.7,0.06,20.9,24.0,Safe
30.4,62.0,3.17,38.6,37.3,Watch
23.4,45.5,0.16,27.1,35.0,Safe
64.7,31.4,11.73,36.8,22.3,Safe
84.6,68.6,2.82,43.9,30.8,Warning
79.5,23.9,1.91,38.4,16.4,Safe
20.0,44.6,1.69,35.0,33.4,Watch
32.5,56.5,2.55,32.9,28.6,Safe
28.0,82.7,0.28,21.5,53.0,Watch
36.0,36.7,7.98,16.1,37.9,Safe
73.8,40.0,2.95,50.3,22.5,Safe
102.6,37.0,0.61,41.9,22.3,Safe
54.5,49.3,2.48,18.2,38.4,Safe
24.1,55.6,0.43,31.0,40.8,Safe
40.5,64.7,0.05,9.1,50.6,Watch
115.3,58.6,2.99,22.8,43.6,Warning
44.5,36.0,3.14,38.0,36.8,Watch
32.7,59.6,2.63,33.9,46.2,Watch
35.0,46.6,0.61,31.7,32.7,Safe
54.3,58.4,2.77,16.7,32.3,Watch
20.6,59.4,0.17,13.7,19.9,Safe
27.5,74.3,2.82,44.2,47.1,Watch
78.7,38.6,2.42,55.4,33.3,Warning
53.2,35.2,3.19,38.2,31.0,Watch
44.9,53.0,6.78,27.4,24.1,Watch
81.4,66.3,5.7,48.4,44.3,Warning
22.9,46.0,11.84,17.4,41.9,Watch
32.0,67.5,11.22,45.8,23.0,Watch
52.0,57.4,4.44,21.1,37.1,Watch
50.7,41.4,9.4,21.8,40.0,Warning
10.6,55.1,6.06,25.0,19.5,Watch
29.5,37.2,3.9,28.5,38.4,Safe
36.7,49.3,0.24,43.7,36.4,Watch
56.1,25.7,0.15,10.4,38.2,Safe
50.5,43.8,5.45,20.9,51.9,Watch
39.3,63.0,2.02,33.1,61.6,Warning
5.4,58.8,5.06,38.4,44.4,Watch
40.8,56.2,1.13,4.4,34.6,Safe
43.6,50.2,1.52,18.1,38.4,Safe
182.4,47.9,3.61,3.8,36.3,Danger
35.8,22.2,7.41,19.5,55.5,Safe
52.2,41.3,0.28,23.4,33.4,Safe
90.5,48.3,5.93,37.5,27.9,Watch
71.0,24.8,4.73,0.0,37.5,Watch
105.3,13.5,1.14,39.8,52.9,Warning
10.8,65.3,1.32,22.4,22.3,Safe
17.2,45.9,0.14,24.9,25.3,Safe
25.9,48.8,0.05,44.6,24.7,Safe
9.0,55.0,1.94,50.2,20.0,Safe
43.9,27.3,0.3,20.2,22.5,Safe
18.5,37.7,0.65,20.1,41.4,Safe
114.4,72.1,5.63,24.7,34.2,Danger
21.2,36.2,2.54,20.0,19.1,Safe
32.1,40.2,3.01,8.5,38.9,Safe
73.8,32.9,0.62,29.5,35.5,Safe
13.2,31.7,5.29,20.1,41.5,Safe
8.3,64.9,6.07,31.5,26.0,Safe
47.9,5.0,2.22,55.6,19.7,Safe
50.6,36.8,7.31,28.4,38.8,Warning
72.3,49.1,5.59,18.7,40.3,Watch
60.9,75.5,3.94,25.9,21.0,Warning
52.0,24.6,3.97,31.9,34.4,Safe
23.3,21.5,0.33,27.5,25.8,Safe
49.6,29.5,0.95,21.6,41.7,Safe
51.9,57.6,0.21,5.1,38.6,Watch
22.6,47.3,0.03,39.5,44.2,Safe
135.6,19.0,0.52,16.6,23.6,Watch
58.9,46.8,6.37,51.9,25.1,Danger
17.5,72.9,0.82,24.5,28.3,Safe
72.6,49.8,10.54,22.3,26.7,Warning
81.1,48.0,2.73,22.9,35.7,Watch
56.5,49.0,0.81,32.3,21.2,Safe
34.2,52.5,2.06,17.0,47.2,Safe
21.8,22.2,0.74,19.9,49.4,Safe
39.2,40.8,12.4,39.3,43.1,Watch
53.7,41.8,5.64,14.7,37.0,Safe
42.1,36.3,0.08,38.2,30.8,Safe
108.4,57.4,8.86,42.4,33.9,Danger
65.3,33.6,3.83,40.0,24.4,Safe
19.7,38.5,0.26,33.5,33.6,Safe
15.8,22.3,3.33,2.9,35.4,Safe
59.3,51.8,3.12,11.8,23.7,Safe
34.9,62.0,0.74,9.7,48.2,Watch
69.2,38.5,4.26,24.3,31.2,Watch
58.9,59.5,0.27,30.5,21.7,Watch
39.4,42.4,2.02,12.1,29.9,Safe
19.9,5.0,0.03,27.4,26.0,Safe
9.4,44.1,10.4,40.3,23.6,Safe
49.0,41.8,4.18,15.0,47.7,Safe
13.0,46.9,0.52,17.7,32.1,Safe
19.2,49.6,1.25,47.7,42.3,Watch
46.8,32.7,0.53,16.1,36.1,Safe
43.6,71.5,4.37,35.1,36.8,Watch
14.6,43.8,0.18,48.6,31.9,Safe
87.3,41.4,5.51,12.3,27.7,Safe
85.8,58.4,8.55,13.4,45.0,Danger
60.6,45.3,3.39,26.5,38.5,Safe
60.5,91.2,0.72,31.0,30.2,Warning
60.6,41.2,1.34,20.4,41.9,Watch
80.7,51.3,1.95,59.6,47.1,Warning
66.4,31.5,2.78,38.1,35.7,Safe
21.4,60.7,3.31,17.9,47.5,Safe
34.5,50.6,2.42,9.5,27.2,Watch
169.9,38.9,1.3,29.1,23.0,Danger
5.8,29.3,6.65,36.6,28.6,Safe
28.2,21.4,0.25,57.6,32.4,Safe
87.6,52.5,1.88,31.1,47.6,Warning
22.6,20.0,4.48,26.4,28.2,Safe
67.7,68.6,0.19,15.4,35.8,Watch
43.2,22.3,3.67,35.6,43.0,Safe
24.0,41.8,5.14,45.3,36.7,Safe
4.5,29.1,3.24,3.2,27.1,Safe
